Ifbk,IfbkTgt,SpdTgt,SpdAct
19,-2000,45000,67618
19,-2000,45000,67356
0,-2000,45000,67618
10,-2000,45000,67356
9,-2000,45000,67618
10,-2000,45000,67356
4,-2000,45000,67618
27,-2000,45000,67357
22,-2000,45000,67625
10,-2000,45000,67369
18,-2000,45000,67636
16,-2000,45000,67375
9,-2000,45000,67638
16,-2000,45000,67023
9,-2000,45000,66358
16,-2000,45000,66443
21,-2000,45000,66830
7,-2000,45000,67188
16,-2000,45000,67355
15,-2000,45000,67461
9,-2000,45000,66916
6,-2000,45000,67087
28,-2000,45000,67024
27,-2000,45000,67445
13,-2000,45000,67271
6,-2000,45000,67207
18,-2000,45000,66764
6,-2000,45000,67137
15,-2000,45000,67033
4,-2000,45000,67452
22,-2000,45000,67267
16,-2000,45000,67572
9,-2000,45000,66528
15,-2000,45000,66480
13,-2000,45000,66791
15,-2000,45000,67132
18,-2000,45000,67378
22,-2000,45000,66992
27,-2000,45000,67028
28,-2000,45000,66972
10,-2000,45000,67420
15,-2000,45000,67249
13,-2000,45000,67568
12,-2000,45000,67326
12,-2000,45000,67599
27,-2000,45000,67337
22,-2000,45000,67602
15,-2000,45000,67338
6,-2000,45000,67603
16,-2000,45000,67338
6,-2000,45000,67603
16,-2000,45000,67338
1,-2000,45000,67603
19,-2000,45000,67338
22,-2000,45000,67603
7,-2000,45000,67722
15,-2000,45000,68562
16,-2000,45000,68118
3,-2000,45000,67508
9,-2000,45000,67253
18,-2000,45000,67535
21,-2000,45000,67321
18,-2000,45000,67706
9,-2000,45000,67213
19,-2000,45000,67367
10,-2000,45000,67373
10,-2000,45000,67441
6,-2000,45000,67483
22,-2000,45000,67489
18,-2000,45000,67507
6,-2000,45000,67506
15,-2000,45000,66705
10,-2000,45000,66409
4,-2000,45000,66503
9,-2000,45000,67175
9,-2000,45000,67170
22,-2000,45000,67335
24,-2000,45000,67459
9,-2000,45000,67535
13,-2000,45000,67466
16,-2000,45000,67503
6,-2000,45000,67494
7,-2000,45000,67522
18,-2000,45000,67512
18,-2000,45000,66908
15,-2000,45000,66351
7,-2000,45000,66162
13,-2000,45000,66930
9,-2000,45000,67041
9,-2000,45000,67480
7,-2000,45000,67016
24,-2000,45000,67532
27,-2000,45000,67306
13,-2000,45000,67377
9,-2000,45000,67442
19,-2000,45000,67483
3,-2000,45000,67488
3,-2000,45000,67506
21,-2000,45000,67505
19,-2000,45000,67520
15,-2000,45000,67515
7,-2000,45000,67524
13,-2000,45000,67516
6,-2000,45000,67525
4,-2000,45000,67516
4,-2000,45000,67616
12,-2000,45000,67350
22,-2000,45000,67616
16,-2000,45000,67350
9,-2000,45000,67977
13,-2000,45000,67951
10,-2000,45000,67607
0,-2000,45000,67077
-1,-2000,45000,67614
24,-2000,45000,67129
25,-2000,45000,67389
9,-2000,45000,67221
22,-2000,45000,67552
18,-2000,45000,67313
3,-2000,45000,67591
0,-2000,45000,67334
13,-2000,45000,67607
22,-2000,45000,66762
25,-2000,45000,66014
7,-2000,45000,66408
19,-2000,45000,67113
16,-2000,45000,67422
10,-2000,45000,66952
-1,-2000,45000,67307
27,-2000,45000,67048
28,-2000,45000,67439
16,-2000,45000,67255
12,-2000,45000,67568
18,-2000,45000,66680
9,-2000,45000,66383
13,-2000,45000,66696
9,-2000,45000,67076
16,-2000,45000,67352
24,-2000,45000,67437
12,-2000,45000,67356
12,-2000,45000,67012
18,-2000,45000,67339
10,-2000,45000,67193
7,-2000,45000,67536
28,-2000,45000,66459
34,-2000,45000,66292
22,-2000,45000,66651
13,-2000,45000,67422
18,-2000,45000,67291
16,-2000,45000,67574
6,-2000,45000,67336
9,-2000,45000,67588
30,-2000,45000,67340
22,-2000,45000,67590
13,-2000,45000,67340
15,-2000,45000,67590
16,-2000,45000,67340
6,-2000,45000,67590
0,-2000,45000,67340
4,-2000,45000,67590
22,-2000,45000,67340
21,-2000,45000,67590
6,-2000,45000,67341
15,-2000,45000,67590
16,-2000,45000,67341
3,-2000,45000,67590
9,-2000,45000,67341
22,-2000,45000,67590
24,-2000,45000,67341
18,-2000,45000,67590
9,-2000,45000,67341
18,-2000,45000,67576
10,-2000,45000,67201
9,-2000,45000,67299
6,-2000,45000,67346
22,-2000,45000,67438
27,-2000,45000,67471
13,-2000,45000,67497
16,-2000,45000,67499
25,-2000,45000,66701
9,-2000,45000,66140
3,-2000,45000,66417
16,-2000,45000,67336
25,-2000,45000,67271
22,-2000,45000,67568
15,-2000,45000,67097
19,-2000,45000,67687
15,-2000,45000,67366
3,-2000,45000,67553
