Current,Position,PosTgt,Speed,PosEst,DistEst,CurrentTgt,Voltage,Current-A,Channel 10
32,-5517,0,-69566,-5509,2422,412,-11989,0,1.34351e+07
43,-5652,0,-69128,-5648,2437,426,-11989,0,1.34351e+07
28,-5796,0,-69368,-5787,2455,419,-11989,0,1.34351e+07
49,-5931,0,-69345,-5925,2468,433,-11989,0,1.34351e+07
27,-6066,0,-69765,-6064,2490,428,-11989,0,1.34351e+07
31,-6210,0,-69344,-6203,2507,425,-11989,0,1.34351e+07
31,-6345,0,-69442,-6342,2522,438,-11989,0,1.34351e+07
-649,-6480,0,-69219,-6480,2533,432,12000,0,1.34351e+07
-896,-6597,0,-58864,-6607,2449,415,12000,0,1.34351e+07
-912,-6678,0,-43071,-6699,2150,393,12000,0,1.34351e+07
-703,-6723,0,-27215,-6748,1707,369,12000,0,1.34351e+07
-610,-6741,0,-12173,-6761,1260,344,12000,0,1.34351e+07
-508,-6732,0,1384,-6751,932,318,12000,0,1.34351e+07
-451,-6705,0,14016,-6720,704,291,12000,0,1.34351e+07
-387,-6669,0,25779,-6673,568,268,12000,0,1.34351e+07
-322,-6606,0,35811,-6613,506,245,12000,0,1.34351e+07
-272,-6543,0,43487,-6542,480,224,12000,0,1.34351e+07
-231,-6462,0,40978,-6461,480,233,12000,0,1.34351e+07
-207,-6372,0,44527,-6371,497,210,12000,0,1.34351e+07
-154,-6273,0,48590,-6274,536,190,12000,0,1.34351e+07
-148,-6174,0,50961,-6172,585,182,12000,0,1.34351e+07
-132,-6066,0,53323,-6067,630,166,12000,0,1.34351e+07
-107,-5958,0,56601,-5956,654,167,12000,0,1.34351e+07
-96,-5841,0,58015,-5841,668,143,12000,0,1.34351e+07
-82,-5724,0,59673,-5722,677,146,12000,0,1.34351e+07
-75,-5598,0,60142,-5601,690,154,12000,0,1.34351e+07
-60,-5472,0,62090,-5478,690,131,12000,0,1.34351e+07
-69,-5346,0,63268,-5353,688,116,12000,0,1.34351e+07
-38,-5220,0,63449,-5226,678,113,12000,0,1.34351e+07
-45,-5094,0,64839,-5098,659,-34,12000,0,1.34351e+07
-43,-4959,0,64983,-4973,594,64,12000,0,1.34351e+07
