Position,Vin,Ifbk,Speed,DBG_0,DBG_1,DBG_2,DBG_3,DBG_4,DBG_5
246996,6484,11,54,0.5,10,0,0,0,0
247320,6484,9,55,0.5,10,0,0,0,0
247653,6484,14,57,0.5,10,0,0,0,0
247977,6484,8,56,0.5,10,0,0,0,0
248301,6484,7,53,0.5,10,0,0,0,0
248616,6484,18,56,0.5,10,0,0,0,0
248940,6484,18,56,0.5,10,0,0,0,0
249264,6484,6,58,0.5,10,0,0,0,0
249588,6484,14,55,0.5,10,0,0,0,0
249912,6484,12,55,0.5,10,0,0,0,0
250236,6484,15,57,0.5,10,0,0,0,0
250560,6484,10,53,0.5,10,0,0,0,0
250875,6484,9,56,0.5,10,0,0,0,0
251208,6484,21,56,0.5,10,0,0,0,0
251532,6484,8,57,0.5,10,0,0,0,0
251847,6484,9,54,0.5,10,0,0,0,0
252171,6484,10,59,0.5,10,0,0,0,0
252495,6484,9,56,0.5,10,0,0,0,0
252819,6484,13,59,0.5,10,0,0,0,0
253143,6484,10,56,0.5,10,0,0,0,0
253467,6484,12,59,0.5,10,0,0,0,0
253791,6484,24,57,0.5,10,0,0,0,0
254106,6484,10,56,0.5,10,0,0,0,0
254430,6484,10,58,0.5,10,0,0,0,0
254754,6484,16,57,0.5,10,0,0,0,0
255078,6484,11,57,0.5,10,0,0,0,0
255402,6484,12,55,0.5,10,0,0,0,0
255717,6484,7,57,0.5,10,0,0,0,0
256041,6484,15,54,0.5,10,0,0,0,0
256365,6484,18,56,0.5,10,0,0,0,0
256689,6484,11,55,0.5,10,0,0,0,0
257013,6484,11,53,0.5,10,0,0,0,0
257328,6484,17,55,0.5,10,0,0,0,0
257652,6484,11,54,0.5,10,0,0,0,0
257967,6484,15,55,0.5,10,0,0,0,0
258291,6484,12,56,0.5,10,0,0,0,0
258615,6484,9,55,0.5,10,0,0,0,0
258939,6484,23,55,0.5,10,0,0,0,0
259263,6484,9,59,0.5,10,0,0,0,0
259587,6484,8,54,0.5,10,0,0,0,0
259902,6484,18,54,0.5,10,0,0,0,0
260235,6484,6,57,0.5,10,0,0,0,0
260559,6484,17,57,0.5,10,0,0,0,0
260874,6484,9,56,0.5,10,0,0,0,0
261198,6484,17,57,0.5,10,0,0,0,0
261522,6484,22,55,0.5,10,0,0,0,0
261846,6484,15,55,0.5,10,0,0,0,0
262170,6484,4,55,0.5,10,0,0,0,0
262494,6484,18,55,0.5,10,0,0,0,0
262818,6484,12,55,0.5,10,0,0,0,0
263133,6484,12,56,0.5,10,0,0,0,0
263457,6484,11,58,0.5,10,0,0,0,0
263781,6484,8,56,0.5,10,0,0,0,0
264105,6484,18,57,0.5,10,0,0,0,0
264429,6484,7,55,0.5,10,0,0,0,0
264744,6484,11,55,0.5,10,0,0,0,0
265068,6484,22,56,0.5,10,0,0,0,0
265392,6484,6,56,0.5,10,0,0,0,0
265716,6484,10,58,0.5,10,0,0,0,0
266040,6484,8,54,0.5,10,0,0,0,0
266355,6484,13,56,0.5,10,0,0,0,0
266679,6484,20,56,0.5,10,0,0,0,0
266994,6484,9,55,0.5,10,0,0,0,0
267318,6484,4,54,0.5,10,0,0,0,0
267642,6484,18,57,0.5,10,0,0,0,0
267966,6484,8,54,0.5,10,0,0,0,0
268281,6484,15,55,0.5,10,0,0,0,0
268605,6484,14,54,0.5,10,0,0,0,0
268920,6484,11,57,0.5,10,0,0,0,0
269244,6484,20,55,0.5,10,0,0,0,0
269568,6484,9,56,0.5,10,0,0,0,0
269883,6484,9,55,0.5,10,0,0,0,0
270207,6484,19,55,0.5,10,0,0,0,0
270522,6484,17,54,0.5,10,0,0,0,0
270846,6484,6,58,0.5,10,0,0,0,0
271170,6484,9,57,0.5,10,0,0,0,0
271494,6484,12,55,0.5,10,0,0,0,0
271809,6484,20,56,0.5,10,0,0,0,0
272133,6484,11,55,0.5,10,0,0,0,0
272448,6484,8,55,0.5,10,0,0,0,0
272772,6484,21,57,0.5,10,0,0,0,0
273096,6484,11,55,0.5,10,0,0,0,0
273420,6484,9,56,0.5,10,0,0,0,0
273735,6484,10,55,0.5,10,0,0,0,0
274059,6484,14,55,0.5,10,0,0,0,0
274383,6484,21,56,0.5,10,0,0,0,0
274707,6484,10,55,0.5,10,0,0,0,0
275022,6484,9,55,0.5,10,0,0,0,0
275346,6484,16,54,0.5,10,0,0,0,0
275661,6484,13,56,0.5,10,0,0,0,0
275985,6484,14,57,0.5,10,0,0,0,0
276309,6484,11,56,0.5,10,0,0,0,0
276633,6505,11,55,0.5,10,0,0,0,0
276957,6505,12,54,0.5,10,0,0,0,0
277272,6505,13,54,0.5,10,0,0,0,0
277587,6505,14,55,0.5,10,0,0,0,0
277911,6505,19,55,0.5,10,0,0,0,0
278235,6505,5,54,0.5,10,0,0,0,0
278559,6505,15,56,0.5,10,0,0,0,0
278883,6505,6,56,0.5,10,0,0,0,0
279207,6505,14,57,0.5,10,0,0,0,0
279522,6505,18,56,0.5,10,0,0,0,0
279846,6505,8,57,0.5,10,0,0,0,0
280179,6505,10,55,0.5,10,0,0,0,0
